city,indicator,value,year,lat,lon,district
Ізюм,Освіта,0.5,2017,49.2121445,37.2665006,False
Ізюм,Освіта,1.0,2018,49.2121445,37.2665006,False
Ізюм,Професійна етика та конфлікт інтересів,1.83,2017,49.2121445,37.2665006,False
Ізюм,Професійна етика та конфлікт інтересів,2.0,2018,49.2121445,37.2665006,False
Ізюм,Соціальні послуги,0.0,2017,49.2121445,37.2665006,False
Ізюм,Соціальні послуги,0.0,2018,49.2121445,37.2665006,False
Ізюм,"Фінансова та матеріальна допомога, гранти",0.0,2017,49.2121445,37.2665006,False
Ізюм,"Фінансова та матеріальна допомога, гранти",0.0,2018,49.2121445,37.2665006,False
Ірпінь,Інформація про роботу ОМС,2.4,2017,50.51875,30.239783000000006,False
Ірпінь,Інформація про роботу ОМС,2.4,2018,50.51875,30.239783000000006,False
Ірпінь,Бюджетний процес,3.0,2017,50.51875,30.239783000000006,False
Ірпінь,Бюджетний процес,3.0,2018,50.51875,30.239783000000006,False
Ірпінь,Доступ та участь,5.6,2017,50.51875,30.239783000000006,False
Ірпінь,Доступ та участь,6.3,2018,50.51875,30.239783000000006,False
Ірпінь,Житлова політика,0.0,2017,50.51875,30.239783000000006,False
Ірпінь,Житлова політика,1.0,2018,50.51875,30.239783000000006,False
Ірпінь,Загальний бал,22.129999999999995,2017,50.51875,30.239783000000006,False
Ірпінь,Загальний бал,33.629999999999995,2018,50.51875,30.239783000000006,False
Ірпінь,Закупівлі,1.0,2017,50.51875,30.239783000000006,False
Ірпінь,Закупівлі,2.0,2018,50.51875,30.239783000000006,False
Ірпінь,Землекористування та будівельна політика,1.4,2017,50.51875,30.239783000000006,False
Ірпінь,Землекористування та будівельна політика,3.5,2018,50.51875,30.239783000000006,False
Ірпінь,Кадрові питання,3.0,2017,50.51875,30.239783000000006,False
Ірпінь,Кадрові питання,3.0,2018,50.51875,30.239783000000006,False
Ірпінь,Комунальне майно,1.5,2017,50.51875,30.239783000000006,False
Ірпінь,Комунальне майно,3.6,2018,50.51875,30.239783000000006,False
Ірпінь,Комунальні підприємства,2.4,2017,50.51875,30.239783000000006,False
Ірпінь,Комунальні підприємства,3.5,2018,50.51875,30.239783000000006,False
Ірпінь,Освіта,0.0,2017,50.51875,30.239783000000006,False
Ірпінь,Освіта,2.0,2018,50.51875,30.239783000000006,False
Ірпінь,Професійна етика та конфлікт інтересів,0.33,2017,50.51875,30.239783000000006,False
Ірпінь,Професійна етика та конфлікт інтересів,0.33,2018,50.51875,30.239783000000006,False
Ірпінь,Соціальні послуги,0.0,2017,50.51875,30.239783000000006,False
Ірпінь,Соціальні послуги,1.5,2018,50.51875,30.239783000000006,False
Ірпінь,"Фінансова та матеріальна допомога, гранти",1.5,2017,50.51875,30.239783000000006,False
Ірпінь,"Фінансова та матеріальна допомога, гранти",1.5,2018,50.51875,30.239783000000006,False
Бахмут,Інформація про роботу ОМС,3.3,2017,48.5986674,37.9980367,False
Бахмут,Інформація про роботу ОМС,5.4,2018,48.5986674,37.9980367,False
Бахмут,Бюджетний процес,5.0,2017,48.5986674,37.9980367,False
Бахмут,Бюджетний процес,6.0,2018,48.5986674,37.9980367,False
Бахмут,Доступ та участь,2.0,2017,48.5986674,37.9980367,False
Бахмут,Доступ та участь,5.1,2018,48.5986674,37.9980367,False
Бахмут,Житлова політика,0.0,2017,48.5986674,37.9980367,False
Бахмут,Житлова політика,4.5,2018,48.5986674,37.9980367,False
Бахмут,Загальний бал,27.26,2017,48.5986674,37.9980367,False
Бахмут,Загальний бал,62.230000000000004,2018,48.5986674,37.9980367,False
Бахмут,Закупівлі,2.5,2017,48.5986674,37.9980367,False
Бахмут,Закупівлі,6.0,2018,48.5986674,37.9980367,False
Бахмут,Землекористування та будівельна політика,3.0,2017,48.5986674,37.9980367,False
Бахмут,Землекористування та будівельна політика,6.1,2018,48.5986674,37.9980367,False
Бахмут,Кадрові питання,2.1,2017,48.5986674,37.9980367,False
Бахмут,Кадрові питання,4.5,2018,48.5986674,37.9980367,False
Бахмут,Комунальне майно,2.4,2017,48.5986674,37.9980367,False
Бахмут,Комунальне майно,5.0,2018,48.5986674,37.9980367,False
Бахмут,Комунальні підприємства,2.6,2017,48.5986674,37.9980367,False
Бахмут,Комунальні підприємства,4.63,2018,48.5986674,37.9980367,False
Бахмут,Освіта,1.0,2017,48.5986674,37.9980367,False
Бахмут,Освіта,4.0,2018,48.5986674,37.9980367,False
Бахмут,Професійна етика та конфлікт інтересів,1.36,2017,48.5986674,37.9980367,False
Бахмут,Професійна етика та конфлікт інтересів,4.0,2018,48.5986674,37.9980367,False
Бахмут,Соціальні послуги,1.0,2017,48.5986674,37.9980367,False
Бахмут,Соціальні послуги,1.0,2018,48.5986674,37.9980367,False
Бахмут,"Фінансова та матеріальна допомога, гранти",1.0,2017,48.5986674,37.9980367,False
Бахмут,"Фінансова та матеріальна допомога, гранти",6.0,2018,48.5986674,37.9980367,False
Бердичів,Інформація про роботу ОМС,4.4,2017,49.9106591,28.590031300000003,False
Бердичів,Інформація про роботу ОМС,5.8,2018,49.9106591,28.590031300000003,False
Бердичів,Бюджетний процес,3.0,2017,49.9106591,28.590031300000003,False
Бердичів,Бюджетний процес,3.0,2018,49.9106591,28.590031300000003,False
Бердичів,Доступ та участь,5.5,2017,49.9106591,28.590031300000003,False
Бердичів,Доступ та участь,6.0,2018,49.9106591,28.590031300000003,False
Бердичів,Житлова політика,0.0,2017,49.9106591,28.590031300000003,False
Бердичів,Житлова політика,0.0,2018,49.9106591,28.590031300000003,False
Бердичів,Загальний бал,27.729999999999997,2017,49.9106591,28.590031300000003,False
Бердичів,Загальний бал,36.86,2018,49.9106591,28.590031300000003,False
Бердичів,Закупівлі,1.0,2017,49.9106591,28.590031300000003,False
Бердичів,Закупівлі,1.5,2018,49.9106591,28.590031300000003,False
Бердичів,Землекористування та будівельна політика,3.4,2017,49.9106591,28.590031300000003,False
Бердичів,Землекористування та будівельна політика,3.4299999999999997,2018,49.9106591,28.590031300000003,False
Бердичів,Кадрові питання,2.0,2017,49.9106591,28.590031300000003,False
Бердичів,Кадрові питання,2.5,2018,49.9106591,28.590031300000003,False
Бердичів,Комунальне майно,1.6,2017,49.9106591,28.590031300000003,False
Бердичів,Комунальне майно,2.6,2018,49.9106591,28.590031300000003,False
Бердичів,Комунальні підприємства,3.0,2017,49.9106591,28.590031300000003,False
Бердичів,Комунальні підприємства,3.2,2018,49.9106591,28.590031300000003,False
Бердичів,Освіта,1.0,2017,49.9106591,28.590031300000003,False
Бердичів,Освіта,3.5,2018,49.9106591,28.590031300000003,False
Бердичів,Професійна етика та конфлікт інтересів,0.33,2017,49.9106591,28.590031300000003,False
Бердичів,Професійна етика та конфлікт інтересів,1.33,2018,49.9106591,28.590031300000003,False
Бердичів,Соціальні послуги,1.0,2017,49.9106591,28.590031300000003,False
Бердичів,Соціальні послуги,1.5,2018,49.9106591,28.590031300000003,False
Бердичів,"Фінансова та матеріальна допомога, гранти",1.5,2017,49.9106591,28.590031300000003,False
Бердичів,"Фінансова та матеріальна допомога, гранти",2.5,2018,49.9106591,28.590031300000003,False
Бердянськ,Інформація про роботу ОМС,6.4,2017,46.9,36.8034779,False
Бердянськ,Інформація про роботу ОМС,6.7,2018,46.9,36.8034779,False
Бердянськ,Бюджетний процес,5.36,2017,46.9,36.8034779,False
Бердянськ,Бюджетний процес,4.7,2018,46.9,36.8034779,False
Бердянськ,Доступ та участь,6.2,2017,46.9,36.8034779,False
Бердянськ,Доступ та участь,6.1,2018,46.9,36.8034779,False
Бердянськ,Житлова політика,0.5,2017,46.9,36.8034779,False
Бердянськ,Житлова політика,0.5,2018,46.9,36.8034779,False
Бердянськ,Загальний бал,39.19,2017,46.9,36.8034779,False
Бердянськ,Загальний бал,46.76,2018,46.9,36.8034779,False
Бердянськ,Закупівлі,2.5,2017,46.9,36.8034779,False
Бердянськ,Закупівлі,3.0,2018,46.9,36.8034779,False
Бердянськ,Землекористування та будівельна політика,2.5,2017,46.9,36.8034779,False
Бердянськ,Землекористування та будівельна політика,5.199999999999999,2018,46.9,36.8034779,False
Бердянськ,Кадрові питання,3.0,2017,46.9,36.8034779,False
Бердянськ,Кадрові питання,3.0,2018,46.9,36.8034779,False
Бердянськ,Комунальне майно,2.4,2017,46.9,36.8034779,False
Бердянськ,Комунальне майно,4.0,2018,46.9,36.8034779,False
Бердянськ,Комунальні підприємства,2.0,2017,46.9,36.8034779,False
Бердянськ,Комунальні підприємства,0.8999999999999999,2018,46.9,36.8034779,False
Бердянськ,Освіта,3.5,2017,46.9,36.8034779,False
Бердянськ,Освіта,4.5,2018,46.9,36.8034779,False
Бердянськ,Професійна етика та конфлікт інтересів,1.83,2017,46.9,36.8034779,False
Бердянськ,Професійна етика та конфлікт інтересів,2.16,2018,46.9,36.8034779,False
Бердянськ,Соціальні послуги,0.0,2017,46.9,36.8034779,False
Бердянськ,Соціальні послуги,1.0,2018,46.9,36.8034779,False
Бердянськ,"Фінансова та матеріальна допомога, гранти",3.0,2017,46.9,36.8034779,False
Бердянськ,"Фінансова та матеріальна допомога, гранти",5.0,2018,46.9,36.8034779,False
Бориспіль,Інформація про роботу ОМС,4.2,2017,50.3,30.95615,False
Бориспіль,Інформація про роботу ОМС,4.33,2018,50.3,30.95615,False
Бориспіль,Бюджетний процес,1.4,2017,50.3,30.95615,False
Бориспіль,Бюджетний процес,1.5,2018,50.3,30.95615,False
Бориспіль,Доступ та участь,2.7,2017,50.3,30.95615,False
Бориспіль,Доступ та участь,3.6,2018,50.3,30.95615,False
Бориспіль,Житлова політика,0.5,2017,50.3,30.95615,False
Бориспіль,Житлова політика,0.5,2018,50.3,30.95615,False
Бориспіль,Загальний бал,27.7,2017,50.3,30.95615,False
Бориспіль,Загальний бал,29.59,2018,50.3,30.95615,False
Бориспіль,Закупівлі,1.0,2017,50.3,30.95615,False
Бориспіль,Закупівлі,1.0,2018,50.3,30.95615,False
Бориспіль,Землекористування та будівельна політика,4.7,2017,50.3,30.95615,False
Бориспіль,Землекористування та будівельна політика,5.0,2018,50.3,30.95615,False
Бориспіль,Кадрові питання,1.0,2017,50.3,30.95615,False
Бориспіль,Кадрові питання,1.0,2018,50.3,30.95615,False
Бориспіль,Комунальне майно,1.0,2017,50.3,30.95615,False
Бориспіль,Комунальне майно,1.0,2018,50.3,30.95615,False
Бориспіль,Комунальні підприємства,2.0,2017,50.3,30.95615,False
Бориспіль,Комунальні підприємства,2.0,2018,50.3,30.95615,False
Бориспіль,Освіта,4.5,2017,50.3,30.95615,False
Бориспіль,Освіта,4.5,2018,50.3,30.95615,False
Бориспіль,Професійна етика та конфлікт інтересів,2.2,2017,50.3,30.95615,False
Бориспіль,Професійна етика та конфлікт інтересів,2.16,2018,50.3,30.95615,False
Бориспіль,Соціальні послуги,1.0,2017,50.3,30.95615,False
Бориспіль,Соціальні послуги,1.5,2018,50.3,30.95615,False
Бориспіль,"Фінансова та матеріальна допомога, гранти",1.5,2017,50.3,30.95615,False
Бориспіль,"Фінансова та матеріальна допомога, гранти",1.5,2018,50.3,30.95615,False
Боярка,Інформація про роботу ОМС,0.9,2017,50.317117,30.298167,False
Боярка,Інформація про роботу ОМС,5.6,2018,50.317117,30.298167,False
Боярка,Бюджетний процес,2.8600000000000003,2017,50.317117,30.298167,False
Боярка,Бюджетний процес,3.0,2018,50.317117,30.298167,False
Боярка,Доступ та участь,4.5,2017,50.317117,30.298167,False
Боярка,Доступ та участь,7.2,2018,50.317117,30.298167,False
Боярка,Житлова політика,0.0,2017,50.317117,30.298167,False
Боярка,Житлова політика,0.0,2018,50.317117,30.298167,False
Боярка,Загальний бал,15.610000000000001,2017,50.317117,30.298167,False
Боярка,Загальний бал,41.99,2018,50.317117,30.298167,False
Боярка,Закупівлі,0.75,2017,50.317117,30.298167,False
Боярка,Закупівлі,3.5,2018,50.317117,30.298167,False
Боярка,Землекористування та будівельна політика,3.9000000000000004,2017,50.317117,30.298167,False
Боярка,Землекористування та будівельна політика,4.5,2018,50.317117,30.298167,False
Боярка,Кадрові питання,1.5,2017,50.317117,30.298167,False
Боярка,Кадрові питання,5.0,2018,50.317117,30.298167,False
Боярка,Комунальне майно,0.0,2017,50.317117,30.298167,False
Боярка,Комунальне майно,4.0,2018,50.317117,30.298167,False
Боярка,Комунальні підприємства,1.2,2017,50.317117,30.298167,False
Боярка,Комунальні підприємства,3.7,2018,50.317117,30.298167,False
Боярка,Освіта,0.0,2017,50.317117,30.298167,False
Боярка,Освіта,0.5,2018,50.317117,30.298167,False
Боярка,Професійна етика та конфлікт інтересів,0.0,2017,50.317117,30.298167,False
Боярка,Професійна етика та конфлікт інтересів,0.99,2018,50.317117,30.298167,False
Боярка,Соціальні послуги,0.0,2017,50.317117,30.298167,False
Боярка,Соціальні послуги,0.5,2018,50.317117,30.298167,False
Боярка,"Фінансова та матеріальна допомога, гранти",0.0,2017,50.317117,30.298167,False
Боярка,"Фінансова та матеріальна допомога, гранти",3.5,2018,50.317117,30.298167,False
Бровари,Інформація про роботу ОМС,7.7,2017,50.6,30.7909,False
Бровари,Інформація про роботу ОМС,7.5,2018,50.6,30.7909,False
Бровари,Бюджетний процес,1.7,2017,50.6,30.7909,False
Бровари,Бюджетний процес,3.5,2018,50.6,30.7909,False
Бровари,Доступ та участь,6.6,2017,50.6,30.7909,False
Бровари,Доступ та участь,8.1,2018,50.6,30.7909,False
Бровари,Житлова політика,0.5,2017,50.6,30.7909,False
Бровари,Житлова політика,2.5,2018,50.6,30.7909,False
Бровари,Загальний бал,36.96,2017,50.6,30.7909,False
Бровари,Загальний бал,43.68,2018,50.6,30.7909,False
Бровари,Закупівлі,2.25,2017,50.6,30.7909,False
Бровари,Закупівлі,3.0,2018,50.6,30.7909,False
Бровари,Землекористування та будівельна політика,3.25,2017,50.6,30.7909,False
Бровари,Землекористування та будівельна політика,3.25,2018,50.6,30.7909,False
Бровари,Кадрові питання,2.0,2017,50.6,30.7909,False
Бровари,Кадрові питання,2.0,2018,50.6,30.7909,False
Бровари,Комунальне майно,1.0,2017,50.6,30.7909,False
Бровари,Комунальне майно,4.0,2018,50.6,30.7909,False
Бровари,Комунальні підприємства,2.3,2017,50.6,30.7909,False
Бровари,Комунальні підприємства,2.0,2018,50.6,30.7909,False
Бровари,Освіта,2.0,2017,50.6,30.7909,False
Бровари,Освіта,2.0,2018,50.6,30.7909,False
Бровари,Професійна етика та конфлікт інтересів,3.66,2017,50.6,30.7909,False
Бровари,Професійна етика та конфлікт інтересів,1.33,2018,50.6,30.7909,False
Бровари,Соціальні послуги,1.0,2017,50.6,30.7909,False
Бровари,Соціальні послуги,1.5,2018,50.6,30.7909,False
Бровари,"Фінансова та матеріальна допомога, гранти",3.0,2017,50.6,30.7909,False
Бровари,"Фінансова та матеріальна допомога, гранти",3.0,2018,50.6,30.7909,False
Біла Церква,Інформація про роботу ОМС,2.4,2017,49.7967977,30.1310853,False
Біла Церква,Інформація про роботу ОМС,3.2,2018,49.7967977,30.1310853,False
Біла Церква,Бюджетний процес,3.8,2017,49.7967977,30.1310853,False
Біла Церква,Бюджетний процес,4.0,2018,49.7967977,30.1310853,False
Біла Церква,Доступ та участь,6.0,2017,49.7967977,30.1310853,False
Біла Церква,Доступ та участь,7.0,2018,49.7967977,30.1310853,False
Біла Церква,Житлова політика,0.0,2017,49.7967977,30.1310853,False
Біла Церква,Житлова політика,0.0,2018,49.7967977,30.1310853,False
Біла Церква,Загальний бал,29.4,2017,49.7967977,30.1310853,False
Біла Церква,Загальний бал,46.86,2018,49.7967977,30.1310853,False
Біла Церква,Закупівлі,1.5,2017,49.7967977,30.1310853,False
Біла Церква,Закупівлі,3.0,2018,49.7967977,30.1310853,False
Біла Церква,Землекористування та будівельна політика,2.5,2017,49.7967977,30.1310853,False
Біла Церква,Землекористування та будівельна політика,5.5,2018,49.7967977,30.1310853,False
Біла Церква,Кадрові питання,3.2,2017,49.7967977,30.1310853,False
Біла Церква,Кадрові питання,3.5,2018,49.7967977,30.1310853,False
Біла Церква,Комунальне майно,3.0,2017,49.7967977,30.1310853,False
Біла Церква,Комунальне майно,6.0,2018,49.7967977,30.1310853,False
Біла Церква,Комунальні підприємства,1.2,2017,49.7967977,30.1310853,False
Біла Церква,Комунальні підприємства,1.5,2018,49.7967977,30.1310853,False
Біла Церква,Освіта,1.0,2017,49.7967977,30.1310853,False
Біла Церква,Освіта,5.0,2018,49.7967977,30.1310853,False
Біла Церква,Професійна етика та конфлікт інтересів,0.8,2017,49.7967977,30.1310853,False
Біла Церква,Професійна етика та конфлікт інтересів,2.66,2018,49.7967977,30.1310853,False
Біла Церква,Соціальні послуги,0.0,2017,49.7967977,30.1310853,False
Біла Церква,Соціальні послуги,0.5,2018,49.7967977,30.1310853,False
Біла Церква,"Фінансова та матеріальна допомога, гранти",4.0,2017,49.7967977,30.1310853,False
Біла Церква,"Фінансова та матеріальна допомога, гранти",5.0,2018,49.7967977,30.1310853,False
Білгород-Дністровський,Інформація про роботу ОМС,7.0,2017,46.1854516,30.3414908,False
Білгород-Дністровський,Інформація про роботу ОМС,7.4,2018,46.1854516,30.3414908,False
Білгород-Дністровський,Бюджетний процес,3.7,2017,46.1854516,30.3414908,False
Білгород-Дністровський,Бюджетний процес,7.2,2018,46.1854516,30.3414908,False
Білгород-Дністровський,Доступ та участь,6.0,2017,46.1854516,30.3414908,False
Білгород-Дністровський,Доступ та участь,6.2,2018,46.1854516,30.3414908,False
Білгород-Дністровський,Житлова політика,0.0,2017,46.1854516,30.3414908,False
Білгород-Дністровський,Житлова політика,2.625,2018,46.1854516,30.3414908,False
Білгород-Дністровський,Загальний бал,34.7,2017,46.1854516,30.3414908,False
Білгород-Дністровський,Загальний бал,57.675,2018,46.1854516,30.3414908,False
Білгород-Дністровський,Закупівлі,4.0,2017,46.1854516,30.3414908,False
Білгород-Дністровський,Закупівлі,3.25,2018,46.1854516,30.3414908,False
Білгород-Дністровський,Землекористування та будівельна політика,4.0,2017,46.1854516,30.3414908,False
Білгород-Дністровський,Землекористування та будівельна політика,6.6,2018,46.1854516,30.3414908,False
Білгород-Дністровський,Кадрові питання,3.0,2017,46.1854516,30.3414908,False
Білгород-Дністровський,Кадрові питання,3.0,2018,46.1854516,30.3414908,False
Білгород-Дністровський,Комунальне майно,1.0,2017,46.1854516,30.3414908,False
Білгород-Дністровський,Комунальне майно,6.0,2018,46.1854516,30.3414908,False
Білгород-Дністровський,Комунальні підприємства,1.0,2017,46.1854516,30.3414908,False
Білгород-Дністровський,Комунальні підприємства,5.4,2018,46.1854516,30.3414908,False
Білгород-Дністровський,Освіта,3.0,2017,46.1854516,30.3414908,False
Білгород-Дністровський,Освіта,4.0,2018,46.1854516,30.3414908,False
Білгород-Дністровський,Професійна етика та конфлікт інтересів,1.0,2017,46.1854516,30.3414908,False
Білгород-Дністровський,Професійна етика та конфлікт інтересів,2.0,2018,46.1854516,30.3414908,False
Білгород-Дністровський,Соціальні послуги,1.0,2017,46.1854516,30.3414908,False
Білгород-Дністровський,Соціальні послуги,2.0,2018,46.1854516,30.3414908,False
Білгород-Дністровський,"Фінансова та матеріальна допомога, гранти",0.0,2017,46.1854516,30.3414908,False
Білгород-Дністровський,"Фінансова та матеріальна допомога, гранти",2.0,2018,46.1854516,30.3414908,False
Вараш,Інформація про роботу ОМС,4.0,2017,51.3436553,25.8490867,False
Вараш,Інформація про роботу ОМС,7.3,2018,51.3436553,25.8490867,False
Вараш,Бюджетний процес,2.0,2017,51.3436553,25.8490867,False
Вараш,Бюджетний процес,2.0,2018,51.3436553,25.8490867,False
Вараш,Доступ та участь,3.5,2017,51.3436553,25.8490867,False
Вараш,Доступ та участь,5.0,2018,51.3436553,25.8490867,False
Вараш,Житлова політика,0.0,2017,51.3436553,25.8490867,False
Вараш,Житлова політика,0.0,2018,51.3436553,25.8490867,False
Вараш,Загальний бал,27.66,2017,51.3436553,25.8490867,False
Вараш,Загальний бал,38.4,2018,51.3436553,25.8490867,False
Вараш,Закупівлі,1.0,2017,51.3436553,25.8490867,False
Вараш,Закупівлі,3.0,2018,51.3436553,25.8490867,False
Вараш,Землекористування та будівельна політика,4.5,2017,51.3436553,25.8490867,False
Вараш,Землекористування та будівельна політика,4.2,2018,51.3436553,25.8490867,False
Вараш,Кадрові питання,2.0,2017,51.3436553,25.8490867,False
Вараш,Кадрові питання,2.5,2018,51.3436553,25.8490867,False
Вараш,Комунальне майно,1.0,2017,51.3436553,25.8490867,False
Вараш,Комунальне майно,1.5,2018,51.3436553,25.8490867,False
Вараш,Комунальні підприємства,0.9999999999999999,2017,51.3436553,25.8490867,False
Вараш,Комунальні підприємства,1.9,2018,51.3436553,25.8490867,False
Вараш,Освіта,3.5,2017,51.3436553,25.8490867,False
Вараш,Освіта,5.0,2018,51.3436553,25.8490867,False
Вараш,Професійна етика та конфлікт інтересів,1.1600000000000001,2017,51.3436553,25.8490867,False
Вараш,Професійна етика та конфлікт інтересів,2.5,2018,51.3436553,25.8490867,False
Вараш,Соціальні послуги,0.0,2017,51.3436553,25.8490867,False
Вараш,Соціальні послуги,1.5,2018,51.3436553,25.8490867,False
Вараш,"Фінансова та матеріальна допомога, гранти",4.0,2017,51.3436553,25.8490867,False
Вараш,"Фінансова та матеріальна допомога, гранти",2.0,2018,51.3436553,25.8490867,False
Васильків,Інформація про роботу ОМС,2.2,2017,50.1770891,30.3196385,False
Васильків,Інформація про роботу ОМС,3.9,2018,50.1770891,30.3196385,False
Васильків,Бюджетний процес,1.83,2017,50.1770891,30.3196385,False
Васильків,Бюджетний процес,2.83,2018,50.1770891,30.3196385,False
Васильків,Доступ та участь,4.0,2017,50.1770891,30.3196385,False
Васильків,Доступ та участь,6.2,2018,50.1770891,30.3196385,False
